singular;plural;se_indefinite_article;se_singular;se_plural;dk_indefinite_article;dk_singular;dk_plural;no_indefinite_article;no_singular;no_plural;fi_indefinite_article;fi_singular;fi_plural;de_indefinite_article;de_singular;de_plural;nl_indefinite_article;nl_singular;nl_plural;fr_indefinite_article;fr_singular;fr_plural
branch;branches;1;gren;grenar;1;gren;grene;1;grein;greiner;;;;;zweig;zweige;;tak;takken;;;
bull;bulls;;tjur;tjurar;1;tyr;tyre;1;okse;okser;;;;;stier;stiere;;stier;stieren;;;
bunny;bunnies;;kanin;kaniner;1;kanin;kaniner;1;kanin;kaniner;;;;;kaninche;kaninchen;;konijn;konijntjes;;;
butterfly;butterflies;1;fjäril;fjärilar;1;sommerfugl;sommerfugle;1;sommerfugl;sommerfugler;;perhonen;;;schmetterling;schmetterlinge;;vlinder;vlinders;;;
cactus;cactuses;1;kaktus;kaktusar;1;kaktus;;1;kaktus;;;;;;kaktus;kakteen;;cactus;cactussen;;;
cake;cakes;1;tårta;tårtor;1;kage;kager;1;kake;kaker;;;;;torte;torten;;cake;cakes;;;
candy;candies;;godis;;;slik;;;sukkertøy;;;;;;süßigkeit;süßigkeiten;;snoep;snoepjes;;;
candy cane;candy canes;;;;1;slikstok;slikstokke;1;sukker stang;;;;;;süßigkeitstange;süßigkeitstangen;;zuurstok;zuurstokken;;;
car;cars;;bil;bilar;1;bil;biler;1;bil;biler;;auto;;;auto;autos;;auto;auto's;;;
cartoon;cartoons;1;tecknad;tecknade;;tegneserie;tegneserier;;tegneserie;tegneserier;;;;;karikature;karikaturen;;tekenfilm;tekenfilms;;;
castle;castles;;slott;;2;slot;slotte;2;slott;slott;;;;;schloss;schlösser;;kasteel;kastelen;;;
cat;cats;1;katt;katter;1;kat;katte;1;katt;katter;;kissa;;;katze;katzen;;kat;katten;;;
cat head;cat heads;;;;2;kattehovede;kattehoveder;2;katthode;kattehoder;;;;;katzenkopf;katzenköpfe;;kattenkop;kattenkoppen;;;
child;children;;barn;barn;2;barn;børn;2;barn;barn;;;;;kind;kinder;;kind;kinderen;;;
christmas tree;christmas trees;;julgran;julgranar;2;juletræ;juletræer;2;juletre;juletræer;;joulukuusi;;;weihnachtsbaum;weihnachtsbäume;;kerstboom;kerstbomen;;;
chrysanthemum;chrysanthemums;1;krysantemum;krysantemum;1;krysantemum;krysantemum;1;krysantemum;krysantemumer;;;;;chrysantheme;chrysanthemen;;chrysant;chrysanten;;;
circle;circles;1;cirkel;cirklar ;1;cirkel;cirkler;1;sirkel;sirkler;;;;;kreis;kreise;;cirkel;cirkels;;;
city;cities;;stad;städer;1;by;byer;1;by;byer;;;;;stadt;städte;;stad;steden;;;
cloud;clouds;2;moln ;moln;1;sky;skyer;1;sky;skyer;;;;;wolke;wolken;;wolk;wolken;;;
colorbook;colorbooks;;färgbok;färgböcker;1;farvebog;farverbøger;;fargebok;fargebøker;;;;;;;;;;;;
colorful;colorfuls;;färgglad;färgglada;;farverig;colorfuls;;fargerik;fargerike;;;;;farbig;farbige;;kleurrijk;kleurrijk;;;
constellation;constellations;;;;1;stjernebillede;konstellstioner;;;;;;;;sternbild;sternbilder;;sterrenbeeld;sterrenbeelden;;;
cosmos;;;;;;kosmos;;;;;;;;;kosmos;kosmos;;kosmos;;;;
couple snowman;couple snowmen;;;;;snemands par;snemands par;;;;;;;;paar schneemann;paar schneemänner;;koppel sneeuwpop;sneeuwparen;;;
crown;crowns;;krona;kronor;1;krone;kroner;1;krone;kroner;;kruunu;;;krone;kronen;;kroon;kronen;;;
crying;;;gråter;gråter;;grædende;;;gråtende;;;;;;weinend;weinend;;huilend;;;;
crystal;crystals;1;kristall;kristaller;1;krystal;krystaller;1;krystall;krystaller;;;;;kristall;kristalle;;kristal;kristallen;;;
cube;cubes;1;kub ;kuber;1;terning;terninger;1;terning;terninger;;;;;würfel;würfeln;;kubus;kubussen;;;
cup;cups;;kopp;koppar;1;kop;kopper;1;kopp;;;;;;tasse;tassen;;beker;bekers;;;
daisy;daisies;1;tusensköna;tusenskönor ;1;marguerite;margueritter;1;tusenfryd;tusenfryder;;;;;gänseblümch;gänseblümchen;;margriet;margrieten;;;
dandelion;dandelions;1;maskros;maskrosor;1;mælkebøtte;mælkebøtter;1;melkebøtte;melkebøtter;;;;;löwenzahn;pusteblumen;;paardenbloem;paardenbloemen;;;
decoration;decorations;;dekoration;dekorationer;1;dekoration;dekorationer;;;;;;;;dekoration;dekorationen;;decoratie;versieringen;;;
diamond;diamonds;1;diamant;diamanter;1;diamant;diamanter;1;diamant;diamanter;;;;;diamant;diamanten;;diamant;diamanten;;;
dog;dogs;1;hund;hundar;1;hund;hunde;1;hund;hunder;;koira;;;hund;hunde;;hond;honden;;;
dolphin;dolphins;1;delfin;delfiner;1;delfin;delfiner;1;delfin;delfiner;;delfiini;;;delphin;delphine;;dolfijn;dolfijnen;;;
donkey;donkeys;;åsna;åsnor;1;ædsel;ædsler;1;esel;esler;;aasi;;;esel;esel;;ezel;ezels;;;
doughnut;doughnuts;1;munk;munkar;1;donut;donuts;1;smultring;smultringer;;;;;krapfen;krapfen;;donut;donuts;;;
dragon;dragons;;drake;drakar;1;drage;drager;1;drage;drager;;;;;drache;drachen;;draak;draken;;;
dream catcher;dream catchers;1;drömfångare;drömfångare;1;drømmefanger;drømmefanger;1;drømmefanger;drømmefanger;;;;;traumfänger;traumfänger;;dromenvanger;dromenvangers;;;
dreamcatcher;dreamcatcher;1;drömfångare;drömfångare;1;drømmefanger;drømmefanger;1;drømmefanger;drømmefanger;;;;;traumfänger;traumfänger;;dromenvanger;dromenvangers;;;
dreamy;;;;;;drømmende;;;;;;;;;verträumt;;;dromerig;;;;
eagle;eagle;1;örn;örnar;1;ørn;ørn;1;ørn;ørn;;;;;adler;adler;;adelaar;adelaars;;;
eiffel tower;eiffel towers;;eiffeltornet;eiffeltorn;;eiffel tårnet;eiffel tårne;;eiffeltårnet;eiffeltårn;;eiffel torni;;;eiffelturm;eiffeltürme;;eiffeltoren;eiffeltorens;;;
eight;;;åtta;åttor;;otte;;;åtte;;;;;;acht;;;acht;;;;
element;elements;;;;2;element;elementer;2;element;elementer;;;;;element;elemente;;element;elementen;;;
elephant;elephants;1;elefant;elefanter;1;elefant;elefanter;1;elefant;elefanter;;;;;elefant;elefanten;;olifant;olifanten;;;
elk;elks;1;älg;älgar;1;elg;elge;1;elg;elger;;;;;elch;elche;;eland;elanden;;;
emerald;emeralds;;smaragd;smaragder;1;smaragd;smaragder;1;smaragd;smaragder;;;;;smaragd;smaragde;;smaragd;smaragden;;;
everyday;;;;;1;hver dag;;;;;;;;;alltag;alltag;;alledaags;;;;
eye;eyes;;öga;ögon;;øje;øjne;;øye;øyne;;;;;auge;augen;;oog;ogen;;;
fairy;fairies;;;;1;fe;feer;1;fe;feer;;;;;fee;feen;;fee;feeën;;;
feather;feathers;1;fjäder;fjädrar;1;fjer;fjer;1;fjør;fjær;;;;;feder;federn;;veer;veren;;;
fish;fishes;;fisk;fiskar;1;fisk;fisk;1;fisk;fisk;;;;;fisch;fische;;vis;vissen;;;
five;;;fem;femmor;;fem;;;fem;;;;;;fünf;;;vijf;;;;
flower;flowers;1;blomma;blommor;1;blomst;blomster;1;blomst;blomster;;;;;blume;blumen;;bloem;bloemen;;;
footprint;footprints;;;;2;fodspor;fodspor;2;fotspor;fotspor;;;;;fußabdruck;fußabdrücke;;voetafdruk;voetafdrukken;;;
formation;formations;;;;1;formation;formationer;1;formasjon;formasjoner;;;;;formation;formationen;;formatie;formaties;;;
four;;;fyra;fyror;;fire;;;fire;;;;;;vier;;;vier;;;;
fox;foxes;1;räv;rävar;1;ræv;ræve;1;rev;rever;;;;;fuchs;füchse;;vos;vossen;;;
fragment;fragments;;;;2;fragment;fragmenter;2;fragment;fragmenter;;;;;fragment;fragmente;;fragment;fragmenten;;;
fruit;fruits;;frukt;;1;frugt;frugt;1;frukt;frukt;;;;;frucht;früchte;;fruit;vruchten;;;
geometric;geometrics;;geometri;geometrier;;geometrisk;geometriske;;geometrisk;geometriske;;;;;geometrie;geometrien;;geometrisch;geometriek;;;
geometry;;;geometri;;;geometri;;;geometri;;;;;;geometrie;;;geometrie;;;;
gift;gifts;;gåva;gåvor;1;gave;gaver;1;gave;gaver;;;;;geschenk;geschenke;;geschenk;geschenken;;;
giraffe;giraffes;1;giraff;giraffer;1;giraf;giraffer;1;sjiraff;sjiraffer;;;;;giraffe;giraffen;;giraffe;giraffen;;;
girl;girls;1;tjej;tjejer;1;pige;piger;1;jente;jenter;;;;;mädchen;mädchen;;meisje;meisjes;;;
glas;glasses;2;glas;glas;1;brille;briller;1;brille;briller;;;;;glas;gläser;;glas;glazen;;;
glass ball;glass balls;;glasskula;;1;glaskugle;glaskugler;;;;;;;;glaskugel;glaskugeln;;glazen bol;glazen bollen;;;
glittery;;;glittrande;;;glitrende;;;;;;;;;glitzernd;;;glitter;;;;
graffiti;;;graffiti;;;graffiti;;;graffiti;;;;;;graffiti;;;graffiti;;;;
grain;grains;;;;;kornet;;;;;;;;;korn;körner;;graan;granen;;;
grass;;;gräs;;;græs;;;gress;;;;;;gras;;;gras;;;;
group;groups;;grupp;grupper;1;gruppe;grupper;1;gruppe;grupper;;;;;gruppe;gruppen;;groep;groepen;;;
hand;hands;;;;1;hånd;hænder;;;;;;;;hand;hände;;hand;handen;;;
hand painted;;;;;;håndmalet;;;;;;;;;handgemalt;;;handgeschilderd;;;;
happy;;;glad;glada;;glad;glade;;glad;glade;;;;;glücklich;;;gelukkig;;;;
head;heads;;huvud;huvuden;2;hovede;hoveder;2;hode;hoder;;;;;kopf;köpfe;;hoofd;hoofden;;;
heart;hearts;2;hjärta;hjärtan;1;hjerte;hjerter;2;hjerte;hjeter;;;;;herz;herzen;;hart;harten;;;
heaxagon;heaxagons;;;;1;sekskant;sekskanter;1;sekskant;sekskanter;;;;;sechseck;sechsecke;;zeshoek;zeshoeken;;;
hexagon;hexagons;1;sexhörning;sexhörningar ;1;sekskant;sekskanter;1;sekskant;sekskanter;;;;;sechseck;sechsecke;;zeshoek;zeshoeken;;;
honeycomb;honeycombs;;;;1;bikage;bikager;;;;;;;;wabe;waben;;honingraat;honingraten;;;
house;houses;;hus;;1;hus;huse;2;hus;hus;;;;;haus;häuser;;huis;huizen;;;
husky;huskies;;;;1;husky;;;husky;;;;;;schlittenhund;schlittenhunde;;husky;huskies;;;
ice cream;ice creams;;glass;glass;1;is;is;;iskrem;;;;;;eiscreme;eiscreme;;ijs;ijsjes;;;
jellyfish;jellyfishes;;manet;maneter;1;vandmand;vandmænd;;;;;;;;quallen;quallen;;kwal;kwallen;;;
knitting;;;stickning;;;strikker;;;;;;;;;strickung;;;breien;;;;
leaf;leafs;2;löv;löv;2;blad;blade;2;blad;blader;;puun lehti;;;blatt;blätter;;blad;bladeren;;;
leopard;leopards;1;leopard;leoparder;1;leopard;leoparder;1;leopard;leoparder;;;;;leopard;leoparden;;luipaard;luipaarden;;;
letter;letters;;brev;brev;;bogstav;bogstaver;;;;;;;;buchstabe;buchstaben;;brief;brieven;;;
lion;lions;2;lejon;lejon;1;løve;løver;1;løve;løver;;;;;löwe;löwen;;leeuw;leeuwen;;;
luminous;;;;;;lysende;;;;;;;;;leuchtend;;;lichtgevend;;;;
man;men;;man;män;1;mand;mænd;1;mann;menn;;;;;mann;männer;;man;mannen;;;
mandala;mandalas;1;mandala;mandalor;;mandala;mandalas;;mandala ;mandalaer;;;;;mandala;mandalas;;mandala;mandala's;;;
marble;marbles;1;kula;kulor;;marmor;marmor;;klinkekule;klinkekuler;;;;;marmor;murmeln;;marmer;knikkers;;;
mask;masks;;mask;masker;1;maske;masker;1;maske;masker;;;;;maske;masken;;masker;maskers;;;
mermaid;mermaids;;sjöjungfru;sjöjungfrur;1;havfrue;havfruer;1;havfrue;havfruer;;;;;meerjungfrau;nixen;;zeemeermin;zeemeerminnen;;;
monkey;monkeys;;apa;apor;1;abe;aber;;ape;aper;;;;;;;;;;;;
moon;moons;1;måne;månar;1;måne;måner;1;måne;måner;;;;;mond;monde;;maan;manen;;;
moonlight;moonlights;;månesken;;;måneskin;;;;;;;;;mondschein;mondscheine;;maanlicht;maanlichten;;;
moose;mooses;;älg;älgar;1;elg;elge;1;elg;;;;;;elch;elche;;eland;elanden;;;
mosaic;;;mosaik;;;mosaik;;;mosaikk;;;;;;mosaik;;;mozaïek;;;;
mountain;mountains;;;;1;bjerg;bjerge;;fjell;fjell;;vuori;;;berg;berge;;berg;bergen;;;
nine;;;nio;nior;;ni;;;ni;;;;;;neun;;;negen;;;;
ocean;oceans;;hav;hav;2;hav;hav;;hav;hav;;;;;;;;;;;;
oil painting;oil paintings;;oljemålning;oljemålningar;2;oliemaleri;oliemalerier;;oljemaleri;oljemalerier;;;;;;;;;;;;
one;;;ett;ettor;;en;;;én;;;;;;eine;;;één;;;;
outside the door;;;;;;udenfor døren;;;;;;;;;draußen vor der tür;;;buiten de deur;;;;
owl;owls;1;uggla;ugglor;1;ugle;ugler;1;ugle;ugler;;pöllö;;;eule;eulen;;uil;uilen;;;
painted;;;;;;malet;;;malet;;;;;;gemalt;;;geschilderd;;;;
painting;paintings;;måleri;;2;maleri;malerier;;;;;;;;gemäld;gemälde;;schilderij;schilderijen;;;
palace;palaces;;palats;palats;2;palads;paladser;;slott;palasser;;;;;;;;;;;;
panda;pandas;1;panda;pandor;1;panda;pandaer;1;panda;pandaer;;;;;panda;pandas;;panda;panda's;;;
pattern;patterns;2;mönster;mönster;2;mønster;mønstre;2;mønster;mønstre;;;;;muster;mustern;;patroon;patronen;;;
peach;peaches;;persika;persikor;1;fersken;ferskner;;fersken;ferskener;;;;;;;;;;;;
peacock;peacocks;;påfågel;påfåglar;1;påfugl;påfugle;1;påfugl;påfugler;;;;;pfau;pfaue;;pauw;pauwen;;;
penguin;penguins;1;pingvin;pingviner;1;pingvin;pingviner;1;pingvin;pingviner;;;;;pinguin;pinguine;;pinguïn;pinguïns;;;
peony;peonies;;pion;pioner;1;pæon;;1;pion;;;;;;pfingstrose;pfingstrosen;;pioenroos;pioenrozen;;;
petal;petals;2;kronblad;kronblad;2;kronblad;kronblade;2;kronblad;kronblader;;;;;blütenblatt;blütenblätter;;bloemblad;bloemblaadjes;;;
pigeon;pigeons;;duva;duvor;1;due;duer;1;due;duer;;;;;taube;tauben;;duif;duiven;;;
pineapple;pineapples;;ananas;ananas;1;ananas;ananas;1;ananas;;;;;;anana;ananas;;ananas;ananassen;;;
polar bear;polar bears;;isbjörn;isbjörnar;1;isbjørn;isbjørne;1;isbjørn;;;jääkarhu;;;eisbär;eisbären;;ijsbeer;ijsberen;;;
powder;powders;;;;;pulver;;;;;;;;;puder;pudern;;poeder;poeders;;;
print;prints;;;;2;print;;2;print;;;;;;drucken;drucke;;print;prints;;;
rabbit;rabbits;1;kanin;kaniner;;kanin;kaniner;;kanin;kaniner;;;;;kaninche;kaninchen;;konijn;konijnen;;;
rainbow;rainbows;;regnbåge;regnbågar;1;regnbue;regnbuer;1;regnbue;regnbuer;;;;;regenboge;regenbögen;;regenboog;regenbogen;;;
rainforest;rainforests;1;regnskog;regnskogar;1;regnskov;regnskove;1;regnskog;regnskoger;;;;;regenwald;regenwälder;;regenwoud;regenwouden;;;
rat;rats;;råtta;råttor;1;rotte;rotter;1;rotte;rotter;;rotta;;;ratte;ratten;;rat;ratten;;;
rhododendron;rhododendrons;;;;1;rhododendron;;1;rhododendron;;;;;;rhododendron;rhododendrons;;rododendron;rododendrons;;;
road;roads;;väg;;1;vej;veje;1;vei;veier;;;;;straße;straßen;;weg;wegen;;;
santa;santas;;jultomten;;1;julemand;julemænd;1;julenissen;julenissen;;;;;santa;santas;;kerstman;kerstmannen;;;
santa claus;santa clauses;;jultomten;;1;julemand;;1;julenissen;julenissen;;joulupukki;;;weihnachtsmann;weihnachtsmänner;;kerstman;kerstmannen;;;
scarf;scarfs;;;;2;tørklæde;tørklæder;2;skjerf;;;;;;schal;schals;;sjaal;sjaals;;;
scary;;;;;;skræmmende;;;;;;;;;gruselig;;;eng;;;;
seal;seals;1;säl;sälar;1;sæl;sæler;1;sel;seler;;;;;seehund;seehunde;;zeehond;zeehonden;;;
sequin;sequins;;paljett;paljetter;;paillet;pailletter;;paljett;paljetter;;;;;pailletten;pailletten;;lovertje;lovertjes;;;
seven;;;sju;sjuor;;syv;;;syv;;;;;;sieben;;;zeven;;;;
shadow;shadows;;skugga;skuggor;1;skygge;skygger;1;skygge;;;;;;schatten;schatten;;schaduw;schaduwen;;;
shape;shapes;1;form;former;1;form;former;1;form;former;;;;;form;formen;;vorm;vormen;;;
shark;sharks;1;haj;hajar;1;haj;hajer;1;hai;haier;;hai;;;hai;haie;;haai;haaien;;;
sheep;sheeps;2;får ;får;2;får;sheeps;1;sau;sauer;;;;;schaf;schafe;;schaap;schapen;;;
shiny;;;;;;skinnende;;;;;;;;;glänzend;;;glanzend;;;;
shy;;;blyg;blyga;1;genert;generte;;sjenert;sjenerte;;;;;schüchtern;;;verlegen;;;;
six;;;sex;sexor;;seks;;;seks;;;;;;sechs;;;zes;;;;
skull;skulls;;;;2;kranium;kranier;1;hodeskalle;hodeskaller;;;;;schädel;totenköpfe;;schedel;schedels;;;
sleeping;;;sover;sover;;sovende;;;sovende;;;;;;schlafend;;;slapend;;;;
smile;smiles;;;;2;smil;smil;;;;;;;;lächeln;lächelt;;glimlach;glimlachen;;;
snow;snows;;snö;;;sne;sne;;snø;snø;;lumi;;;schnee;schneit;;sneeuw;sneeuw;;;
snowflake;snowflakes;;snöflinga;snöflingor;2;snefnug;snefnug;;snøfnugg;snøfnugg;;;;;schneeflocke;schneeflocken;;sneeuwvlok;sneeuwvlokken;;;
snowman;snowmen;;snögubbe;snögubbar;1;snemand;snemænd;1;snømann;snømenn;;;;;schneemann;schneemänner;;sneeuwpop;sneeuwpoppen;;;
sock;socks;;strumpa;strumpor;1;sok;sokker;1;sokk;sokker;;;;;socke;socken;;sok;sokken;;;
splash;splashes;;;;;sprøjt;;;;;;;;;spritzer;spritzer;;plons;spatten;;;
square;squares;1;fyrkant;fyrkanter;1;firkant;firkanter;1;firkant;firkanter;;;;;quadrat;quadrate;;vierkant;vierkanten;;;
stair;stairs;1;trapp;trappor;1;trappe;trappe;1;trapp;trapper;;;;;treppe;treppen;;trap;trappen;;;
star;stars;1;stjärna;stjärnor;1;stjerne;stjerner;1;stjerne;stjerner;;;;;stern;sterne;;ster;sterren;;;
starfish;starfishes;1;sjöstjärna;sjöstärnor;;søstjerne;søstjerner;1;sjøsterne;sjøstjerner;;;;;seestern;seesterne;;zeester;zeesterren;;;
starry sky;starry skies;;;;1;stjernehimmel;;1;stjernehimmel;;;;;;sternenhimmel;sternenhimmel;;sterrenhemel;sterrenhemels;;;
stone;stones;;sten;stenar;1;sten;sten;1;stein;steiner;;;;;stein;steine;;steen;stenen;;;
strawberry;strawberries;1;jordgubbe;jordgubbar;2;jordbær;jordbær;2;jordbær;jordbær;;;;;erdbeere;erdbeeren;;aardbei;aardbeien;;;
street;streets;;;;1;gade;gader;1;gate;gater;;;;;straße;straßen;;straat;straten;;;
sunflower;sunflowers;1;solros;solrosor;1;solsikke;solsikker;1;solsikke;solsikker;;;;;sonnenblume;sonnenblumen;;zonnebloem;zonnebloemen;;;
sunglass;sunglasses;;;;1;solbrille;solbriller;1;solbrille;solbriller;;;;;sonnenbrille;sonnenbrillen;;zonnebril;zonnebril;;;
ten;;;tio;tior ;;ti;ti;;ti;;;;;;zehn;;;tien;;;;
texture;textures;1;textur;texturer;;tekstur;;;tekstur;;;;;;textur;texturen;;textuur;texturen;;;
three;;;tre;treor;;tre;tre;;tre;;;;;;drei;;;drie;;;;
tiger;tigers;1;tiger;tigrar;1;tiger;tigre;1;tiger;tigre;;tiikeri;;;tiger;tiger;;tijger;tijgers;;;
tower;towers;;torn;;1;tårn;tårne;;;;;;;;turm;türme;;toren;torens;;;
tree;trees;2;träd;träd;2;træ;træer;2;tre;trær;;puu;;;baum;bäume;;boom;bomen;;;
triangle;triangles;1;triangel;trianglar;1;trekant;trekanter;1;trekant;trekanter;;;;;dreieck;dreiecke;;driehoek;driehoeken;;;
two;;;två;tvåor;;to;;;to;;;;;;zwei;;;twee;;;;
umbrella;umbrellas;2;paraply;paraplyer;1;paraply;paraplyer;1;paraply;paraplyer;;;;;regenschirm;regenschirme;;paraplu;paraplu's;;;
unicorn;unicorns;;enhörning;enhörningar;1;enhjørning;enhjørninge;1;enhjørning;;;;;;einhorn;einhörner;;eenhoorn;eenhoorns;;;
unique;uniques;;unik;unika;;unik;unikke;;unik;unike;;;;;einzigartig;unikate;;uniek;unica;;;
universe;universes;;;;2;univers;;2;univers;;;;;;universum;universen;;universum;universums;;;
various;;;;;;forskellige;;;;;;;;;verschiedene;;;diverse;;;;
wavy;;;;;;bølget;;;;;;;;;gewellt;;;golvend;;;;
whale;whales;1;val;valar;1;hval;hvaler;1;hval;hvaler;;valas;;;wal;wale;;walvis;walvissen;;;
wintersweet;;1;vinterkryddbuske;vinterkryddbuskar;;vintersødt;vintersøde;;vintersøt;vintersøte;;;;;wintersüß;;;winterzoet;;;;
wolf;wolves;1;varg;vargar;1;ulv;ulve;1;ulv;ulver;;;;;wolf;wölfe;;wolf;wolven;;;
woman;women;;kvinna;kvinnor;1;dame;damer;1;dame;damer;;;;;frauen;frauen;;vrouw;vrouwen;;;
